OBJECTID,CT20,FIP23,CITY,CSA,CT20FIP23CSA,Shape__Area,Shape__Length
3618,213402,44000,Los Angeles,Pico-Union,21340244000Pico-Union,4217817.185,8305.59415
3619,214000,44000,Los Angeles,Melrose,21400044000Melrose,10887832.14,13352.72797
3620,214100,44000,Los Angeles,Hancock Park,21410044000Hancock Park,11929071.1,14127.7135
3621,214400,44000,Los Angeles,Melrose,21440044000Melrose,3705373.861,7957.518616
3622,214501,44000,Los Angeles,Park La Brea,21450144000Park La Brea,8071612.772,14790.99134
3623,214501,99037,Unincorporated,Miracle Mile,21450199037Miracle Mile,27975.72949,759.3057069
3624,214503,44000,Los Angeles,Park La Brea,21450344000Park La Brea,2499125.682,6983.615514
3625,214504,44000,Los Angeles,Park La Brea,21450444000Park La Brea,1440218.9,6175.758884
3626,214505,44000,Los Angeles,Park La Brea,21450544000Park La Brea,1338728.724,7174.866786
3627,214600,44000,Los Angeles,Carthay,21460044000Carthay,6255676.976,10110.31883
3628,214700,44000,Los Angeles,Carthay,21470044000Carthay,6386484.843,10225.74835
3629,214800,44000,Los Angeles,Carthay,21480044000Carthay,6192549.886,11255.42413
3630,214902,44000,Los Angeles,Carthay,21490244000Carthay,5457386.22,9750.205585
3631,214903,44000,Los Angeles,Carthay,21490344000Carthay,1460738.283,5592.995196
3632,214904,44000,Los Angeles,Carthay,21490444000Carthay,1892199.484,5571.24518
3633,215101,44000,Los Angeles,Miracle Mile,21510144000Miracle Mile,3820668.62,10271.5828
3634,215102,44000,Los Angeles,Miracle Mile,21510244000Miracle Mile,2774422.444,8182.336266
3635,216100,44000,Los Angeles,Brookside,21610044000Brookside,2854132.85,7539.288695
3636,216100,44000,Los Angeles,Miracle Mile,21610044000Miracle Mile,4411524.695,10778.50728
3637,216201,44000,Los Angeles,Miracle Mile,21620144000Miracle Mile,3712372.259,8370.50164
3638,216201,44000,Los Angeles,Sycamore Square,21620144000Sycamore Square,1259157.786,4576.528691
3639,216202,44000,Los Angeles,Miracle Mile,21620244000Miracle Mile,4837182.358,9376.93263
3640,216202,44000,Los Angeles,Sycamore Square,21620244000Sycamore Square,572041.7529,3400.191209
3641,216301,44000,Los Angeles,Miracle Mile,21630144000Miracle Mile,6070546.436,11387.35636
3642,216302,44000,Los Angeles,Miracle Mile,21630244000Miracle Mile,7631426.545,11342.39943
3643,216401,44000,Los Angeles,South Carthay,21640144000South Carthay,4404800.841,8612.583984
3644,216402,44000,Los Angeles,South Carthay,21640244000South Carthay,2429718.172,6330.769609
3645,216700,44000,Los Angeles,Crestview,21670044000Crestview,8373830.089,11709.67791
3646,216800,44000,Los Angeles,South Carthay,21680044000South Carthay,7963558.6,11547.99448
3647,216901,44000,Los Angeles,Mid-city,21690144000Mid-city,7568669.442,12077.46653
3648,216902,44000,Los Angeles,Mid-city,21690244000Mid-city,4212664.489,9165.19768
