City,County,2018,2019,2020,2021,2022,Average
SARATOGA,"SANTA CLARA",75,58,53,82,64,66.4
"MANHATTAN BEACH","LOS ANGELES",65,67,44,65,87,65.6
RIDGECREST,KERN,68,60,45,77,69,63.8
LINCOLN,PLACER,64,64,58,71,59,63.2
BELMONT,"SAN MATEO",67,77,46,63,63,63.2
"EL SEGUNDO","LOS ANGELES",102,49,30,51,75,61.4
"RED BLUFF",TEHAMA,51,69,60,71,53,60.8
GALT,SACRAMENTO,67,73,50,49,64,60.6
ADELANTO,"SAN BERNARDINO",49,68,55,66,61,59.8
MILLBRAE,"SAN MATEO",65,62,48,53,70,59.6
"GRAND TERRACE","SAN BERNARDINO",76,49,51,56,65,59.4
RIVERBANK,STANISLAUS,47,50,56,59,85,59.4
WALNUT,"LOS ANGELES",67,75,35,63,54,58.8
"YORBA LINDA",ORANGE,95,59,39,48,53,58.8
SELMA,FRESNO,57,50,44,65,74,58.0
TRUCKEE,NEVADA,60,64,40,73,50,57.4
"LA CANADA-FLINTRIDGE","LOS ANGELES",71,46,49,54,66,57.2
"PISMO BEACH","SAN LUIS OBISPO",55,53,47,71,56,56.4
"ARROYO GRANDE","SAN LUIS OBISPO",38,64,45,85,45,55.4
"SANTA PAULA",VENTURA,55,74,50,53,45,55.4
MARINA,MONTEREY,47,50,41,69,68,55.0
"SAN MARINO","LOS ANGELES",81,51,65,63,14,54.8
OAKDALE,STANISLAUS,63,64,39,50,57,54.6
HERCULES,"CONTRA COSTA",49,58,51,65,49,54.4
DIXON,SOLANO,62,45,41,50,66,52.8
CLEARLAKE,LAKE,17,16,57,93,76,51.8
PINOLE,"CONTRA COSTA",52,59,39,50,53,50.6
OAKLEY,"CONTRA COSTA",53,48,38,46,64,49.8
"YUCCA VALLEY","SAN BERNARDINO",51,52,41,56,49,49.8
"ALISO VIEJO",ORANGE,51,50,30,55,60,49.2
MARYSVILLE,YUBA,60,45,35,44,62,49.2
"AMERICAN CANYON",NAPA,58,50,52,42,43,49.0
"PORT HUENEME",VENTURA,47,42,35,65,52,48.2
PARADISE,BUTTE,112,30,31,28,34,47.0
"SOLANA BEACH","SAN DIEGO",59,52,44,40,35,46.0
"HERMOSA BEACH","LOS ANGELES",49,54,49,35,41,45.6
ORINDA,"CONTRA COSTA",36,54,44,48,44,45.2
RIPON,"SAN JOAQUIN",53,45,37,48,39,44.4
SHAFTER,KERN,41,43,49,46,41,44.0
"CORTE MADERA",MARIN,48,63,35,42,32,44.0
"RANCHO SANTA MARGARITA",ORANGE,51,49,28,37,52,43.4
AUBURN,PLACER,36,43,38,56,44,43.4
FILLMORE,VENTURA,55,45,30,43,39,42.4
UKIAH,MENDOCINO,53,44,36,37,38,41.6
"IMPERIAL BEACH","SAN DIEGO",32,45,34,54,41,41.2
CORCORAN,KINGS,43,31,40,42,49,41.0
WOODSIDE,"SAN MATEO",34,45,37,43,45,40.8
LARKSPUR,MARIN,54,44,29,37,39,40.6
WINDSOR,SONOMA,45,39,34,35,43,39.2
CARPINTERIA,"SANTA BARBARA",60,27,41,32,34,38.8
REEDLEY,FRESNO,53,51,32,30,27,38.6
"TWENTYNINE PALMS","SAN BERNARDINO",36,42,32,41,42,38.6
BRISBANE,"SAN MATEO",45,38,29,30,45,37.4
"SOUTH LAKE TAHOE","EL DORADO",23,29,21,42,70,37.0
MAYWOOD,"LOS ANGELES",41,33,28,32,44,35.6
CUDAHY,"LOS ANGELES",46,34,27,28,42,35.4
